time_s,rppg_mean,rppg_std,user00,user10,user01
0.04,0,0,0,0,0
0.08,0,0,0,0,0
0.12,0,0,0,0,0
0.16,0,0,0,0,0
0.2,0,0,0,0,0
0.24,0,0,0,0,0
0.28,0,0,0,0,0
0.32,0,0,0,0,0
0.36,0,0,0,0,0
0.4,0,0,0,0,0
0.44,0,0,0,0,0
0.48,0,0,0,0,0
0.52,0,0,0,0,0
0.56,0,0,0,0,0
0.6,0,0,0,0,0
0.64,0,0,0,0,0
0.68,0,0,0,0,0
0.72,0,0,0,0,0
0.76,0,0,0,0,0
0.8,0,0,0,0,0
0.84,0,0,0,0,0
0.88,0,0,0,0,0
0.92,0,0,0,0,0
0.96,0,0,0,0,0
1,0,0,0,0,0
1.04,0,0,0,0,0
1.08,0,0,0,0,0
1.12,0,0,0,0,0
1.16,0,0,0,0,0
1.2,0,0,0,0,0
1.24,0,0,0,0,0
1.28,0,0,0,0,0
1.32,0,0,0,0,0
1.36,0,0,0,0,0
1.4,0,0,0,0,0
1.44,0,0,0,0,0
1.48,0,0,0,0,0
1.52,0,0,0,0,0
1.56,0,0,0,0,0
1.6,0,0,0,0,0
1.64,0,0,0,0,0
1.68,0,0,0,0,0
1.72,0,0,0,0,0
1.76,0,0,0,0,0
1.8,0,0,0,0,0
1.84,0,0,0,0,0
1.88,0,0,0,0,0
1.92,0,0,0,0,0
1.96,0,0,0,0,0
2,0,0,0,0,0
2.04,0,0,0,0,0
2.08,0,0,0,0,0
2.12,0,0,0,0,0
2.16,0,0,0,0,0
2.2,0,0,0,0,0
2.24,0,0,0,0,0
2.28,0,0,0,0,0
2.32,0,0,0,0,0
2.36,0,0,0,0,0
2.4,0,0,0,0,0
2.44,0,0,0,0,0
2.48,0,0,0,0,0
2.52,0,0,0,0,0
2.56,0,0,0,0,0
2.6,0,0,0,0,0
2.64,0,0,0,0,0
2.68,0,0,0,0,0
2.72,0,0,0,0,0
2.76,0,0,0,0,0
2.8,0,0,0,0,0
2.84,0,0,0,0,0
2.88,0,0,0,0,0
2.92,0,0,0,0,0
2.96,0,0,0,0,0
3,0,0,0,0,0
3.04,0,0,0,0,0
3.08,0,0,0,0,0
3.12,0,0,0,0,0
3.16,0,0,0,0,0
3.2,0,0,0,0,0
3.24,0,0,0,0,0
3.28,0,0,0,0,0
3.32,0,0,0,0,0
3.36,0,0,0,0,0
3.4,0,0,0,0,0
3.44,0,0,0,0,0
3.48,0,0,0,0,0
3.52,0,0,0,0,0
3.56,0,0,0,0,0
3.6,0,0,0,0,0
3.64,0,0,0,0,0
3.68,0,0,0,0,0
3.72,0,0,0,0,0
3.76,0,0,0,0,0
3.8,0,0,0,0,0
3.84,0,0,0,0,0
3.88,0,0,0,0,0
3.92,0,0,0,0,0
3.96,0,0,0,0,0
4,0,0,0,0,0
4.04,0,0,0,0,0
4.08,0,0,0,0,0
4.12,0,0,0,0,0
4.16,0,0,0,0,0
4.2,0,0,0,0,0
4.24,0,0,0,0,0
4.28,0,0,0,0,0
4.32,0,0,0,0,0
4.36,0,0,0,0,0
4.4,0,0,0,0,0
4.44,0,0,0,0,0
4.48,0,0,0,0,0
4.52,0,0,0,0,0
4.56,0,0,0,0,0
4.6,0,0,0,0,0
4.64,0,0,0,0,0
4.68,0,0,0,0,0
4.72,0,0,0,0,0
4.76,0,0,0,0,0
4.8,0,0,0,0,0
4.84,0,0,0,0,0
4.88,0,0,0,0,0
4.92,0,0,0,0,0
4.96,0,0,0,0,0
5,0,0,0,0,0
5.04,0,0,0,0,0
5.08,0,0,0,0,0
5.12,0,0,0,0,0
5.16,0,0,0,0,0
5.2,0,0,0,0,0
5.24,0,0,0,0,0
5.28,0,0,0,0,0
5.32,0,0,0,0,0
5.36,0,0,0,0,0
5.4,0,0,0,0,0
5.44,0,0,0,0,0
5.48,0,0,0,0,0
5.52,0,0,0,0,0
5.56,0,0,0,0,0
5.6,0,0,0,0,0
5.64,0,0,0,0,0
5.68,0,0,0,0,0
5.72,0,0,0,0,0
5.76,0,0,0,0,0
5.8,0,0,0,0,0
5.84,0,0,0,0,0
5.88,0,0,0,0,0
5.92,0,0,0,0,0
5.96,0,0,0,0,0
6,0,0,0,0,0
6.04,0,0,0,0,0
6.08,0,0,0,0,0
6.12,0,0,0,0,0
6.16,0,0,0,0,0
6.2,0,0,0,0,0
6.24,0,0,0,0,0
6.28,0,0,0,0,0
6.32,0,0,0,0,0
6.36,0,0,0,0,0
6.4,0,0,0,0,0
6.44,0,0,0,0,0
6.48,0,0,0,0,0
6.52,0,0,0,0,0
6.56,0,0,0,0,0
6.6,0,0,0,0,0
6.64,0,0,0,0,0
6.68,0,0,0,0,0
6.72,0,0,0,0,0
6.76,0,0,0,0,0
6.8,0,0,0,0,0
6.84,0,0,0,0,0
