time_s,a_mean,a_std,user00,user01,user02,user10,user11,user12
0,,,,,,,,
1,0.303507718,0.092905551,,0.18841359,0.443193972,0.348307788,0.214114204,0.323509037
2,0.413772666,0.128563978,0.428010374,0.456631601,0.292252719,,0.267432362,0.624536276
3,0.351099834,0.063262815,0.432586789,0.29484117,0.337254345,0.258946031,0.357855409,0.425115258
4,0.327249994,0.056097065,0.404656827,0.32369712,0.392912418,0.266825825,0.257817268,0.317590505
5,0.330573509,0.090811552,0.480043113,0.262679994,0.433352172,0.289728105,0.258334756,0.259302914
6,,,,,,,,
7,0.320637653,0.061248019,0.404235303,0.36878264,0.360552132,0.246597633,0.297922909,0.245735303
8,0.292704416,0.065987958,0.407649457,0.348640442,0.256194919,0.286409736,0.218398288,0.238933653
9,0.287144083,0.07240437,,0.385571867,0.254020452,0.361623883,0.209844589,0.224659622
10,0.277973503,0.070688846,,0.165750086,0.277662337,0.372906834,0.246629804,0.326918453
11,0.303557545,0.08952868,0.414622337,0.176506802,0.360998243,0.273074687,0.210532472,0.385610729
12,0.264740596,0.136961769,0.455369741,0.073190004,0.395877004,0.284744233,0.116691798,0.262570798
13,0.342180078,0.082628141,0.44293803,0.354028344,0.410630703,0.317940921,0.182829916,0.344712555
14,0.311702321,0.084181258,0.462452054,0.312844187,0.353796095,0.305708855,0.205179736,0.230232999
15,0.333891951,0.082978351,0.465602994,0.289207608,0.367514998,0.292955756,0.204635665,0.383434683
16,0.333909685,0.043968129,0.395495743,0.364883035,0.314907938,0.274835199,0.288646758,0.36468944
17,0.279615757,0.074987184,0.401777893,0.272500873,0.224143505,0.353307039,0.186745897,0.239219338
18,0.310181821,0.099927101,0.425465047,0.218359545,0.240399793,0.240223378,0.264237911,0.472405255
19,0.292204698,0.09135688,0.398248047,0.253801525,0.190300167,0.218431771,0.257641524,0.434805155
20,0.296303123,0.116140101,0.470716298,0.258944958,0.165618613,0.169185445,0.291147083,0.422206342
21,0.373836858,0.098038154,0.464151442,0.354333252,0.366405904,0.376126379,0.187843576,0.494160593
22,0.275804033,0.095645049,0.467367709,0.24061808,0.229938596,0.161426723,0.248072743,0.307400346
23,0.327593366,0.097877886,0.42301017,0.200277016,0.258306205,0.379273087,0.244019374,0.460674345
24,0.348567943,0.076403704,0.420150042,0.42529127,0.231565207,0.350765347,0.261964142,0.401671648
25,0.333659987,0.096125541,0.455913723,0.149442822,0.326554418,0.29942283,0.385425657,0.385200471
26,0.333966846,0.092822325,0.416989356,0.18596898,0.36860159,0.423921645,0.227246031,0.381073475
27,0.352031335,0.066459028,0.425516099,0.227570027,0.350662947,0.32134065,0.418236583,0.368861705
28,0.339773431,0.03852282,0.400617063,0.311755836,0.293938309,0.381960303,0.317739725,0.332629353
29,0.341892824,0.088525277,0.399011314,0.295613497,0.283714145,0.302859873,0.513487816,0.256670296
30,0.33313487,0.07112612,0.403830469,0.222184658,0.273753405,0.350284398,0.428338557,0.320417732
31,0.377136022,0.086856741,0.410149276,0.422111541,0.339605331,0.280943811,0.282656759,0.527349412
32,0.334610599,0.120872873,0.403571367,0.293357015,0.168594703,0.299646944,0.284482986,0.558010578
33,0.356151377,0.0832908,0.415956616,0.292653143,0.366131574,0.223431051,0.354914486,0.483821392
34,0.397043005,0.055742273,0.412049294,0.335951149,0.309355259,0.437898666,0.465981066,0.421022594
35,0.363370585,0.04252237,0.4070611,0.329935372,0.301382661,,0.368824273,0.409649521
36,0.362766492,0.078979607,0.407774359,0.247122586,0.465521336,,0.298151433,0.395262748
37,0.360269422,0.046253311,0.407297939,0.289478481,0.318521678,0.361842394,0.362039983,0.422436059
38,0.326105465,0.077221198,0.42221117,0.394122154,0.37002629,0.22180979,0.231059358,0.317404032
39,,,,,,,,
40,0.325466166,0.112366325,0.411443383,0.146978289,0.269837737,0.284454525,0.503233075,0.336849988
41,0.332823537,0.063669821,0.417786241,0.266233742,0.331491172,0.349891275,0.238972768,0.392566025
42,0.347183563,0.079484693,0.410303086,0.189697728,0.299383312,0.38725093,0.395179003,0.401287317
43,0.310424405,0.094820317,0.409902245,0.23701638,0.283001065,0.190152839,0.460811377,0.281662524
44,0.368606264,0.056662556,0.407443166,0.429520339,0.43584013,0.307298571,0.325311959,0.306223422
45,0.396495557,0.076504849,0.41251877,0.482581258,0.4166345,,0.252547652,0.418195605
46,0.400740165,0.13218477,0.421537429,0.455168128,0.371326953,,0.175282151,0.580386162
47,0.343314429,0.081454853,0.420045853,0.479189485,0.326003611,0.241769671,0.281372488,0.311505467
48,0.286763723,0.069067973,0.419323951,0.224118292,0.27761516,0.258838177,0.216851056,0.323835701
49,0.352749566,0.135007804,0.421094,0.412923217,0.295367122,0.310680479,0.119600385,0.556832194
50,0.349446843,0.079060276,0.402260065,0.214075178,0.294716001,0.336907238,0.392648637,0.45607394
51,0.334158363,0.135256315,0.401513368,0.261686802,0.290014476,0.368534684,0.121673599,0.561527252
52,0.362833386,0.094996807,0.442615449,0.364528835,0.31280148,0.309946746,0.228212476,0.518895328
53,0.301215582,0.136666283,0.42387256,0.277880013,0.206152007,0.40625754,0.058905572,0.434225798
54,0.355354493,0.154834874,0.411793143,0.324914843,0.29021281,0.373280615,0.106211662,0.625713885
55,0.337436301,0.153424225,0.425043315,0.218947887,0.288104206,0.309052169,0.156805947,0.626664281
56,0.315485035,0.090448185,0.415312469,0.267192125,0.279728174,0.276524723,0.197225779,0.456926942
57,0.351967971,0.10131101,0.412803739,0.316174448,0.351544082,0.285405338,0.212798089,0.533082128
58,0.337193117,0.152198595,0.407554388,0.357660174,0.404600471,0.275554687,0.043325454,0.534463525
59,0.327989457,0.112490791,0.402274221,0.293290079,0.446823388,0.230906099,0.149377123,0.44526583
60,0.343127035,0.137490642,0.403663754,0.154260963,0.437200397,0.350895405,0.176334694,0.536406994
61,0.375538429,0.070222038,0.419307232,0.388422877,0.384826779,0.354842722,0.238970518,0.466860443
62,0.333766617,0.091713749,0.427900612,0.322475433,0.402581751,0.283779085,0.162355587,0.403507233
63,0.274017915,0.100217976,0.409251541,0.210649043,0.334947407,0.295327425,0.119914159,
64,0.340317893,0.097632176,0.411813855,0.41498816,0.375668615,0.327798247,0.131685302,0.379953176
65,0.34394975,0.12129294,0.429529279,0.508991539,0.259116769,0.249266714,0.17607227,0.440721929
66,0.267878229,0.093114216,0.395813286,0.132267088,0.315501273,0.274948418,0.161181509,0.327557802
67,0.314247705,0.102115978,0.408653647,0.191469237,0.454284161,0.230728686,0.224026382,0.376324117
68,0.289720063,0.111379273,0.422575593,0.228918254,0.372463495,0.165554047,0.151214004,0.397594988
69,0.354555095,0.084479922,0.374306023,0.382249624,0.472347766,0.312089562,0.197124362,0.389213234
70,0.339727769,0.094086954,0.414574027,0.31403625,0.414645225,0.440386891,0.173255056,0.281469166
71,0.35373425,0.087855415,0.444689989,0.388467252,0.317473531,0.451919168,0.195593923,0.324261636
72,0.369790887,0.075647078,0.454375267,0.353539079,0.402771354,0.30937022,0.246044695,0.452644706
73,0.26248919,0.097496634,0.415558249,0.113127083,0.215368479,0.296823502,0.204363286,0.329694539
74,0.266843684,0.102124367,0.425058633,0.199538261,0.163106427,0.24926123,0.178411484,0.38568607
75,0.348356138,0.117239603,0.386055797,0.500954926,0.257561594,0.292906314,0.175540537,0.477117658
76,0.28864232,0.07253515,0.405750483,0.297445416,0.22285822,0.235102579,0.212683201,0.358014017
77,0.336883535,0.055038242,0.394504279,0.293974936,0.399421126,0.299867362,0.257930398,0.37560311
78,0.283434416,0.092305186,0.393482357,0.307174236,0.355455071,0.27994591,0.262216747,0.102332175
79,0.363043343,0.062273205,0.426046699,0.344743758,0.380026042,0.306399584,0.272619277,0.448424697
80,0.358393935,0.082020512,0.425968915,0.490835488,0.358917713,0.289949417,0.243114606,0.34157747
81,0.271913071,0.089421118,0.419059277,0.310195625,0.296052575,0.277138948,0.188815922,0.140216082
82,0.417158181,0.08573146,0.401940942,0.540710926,0.486189306,0.304587156,0.452086776,0.317433983
83,0.407136371,0.126770706,0.399395674,0.29619503,0.380153626,0.280676156,0.666305959,0.420091778
84,0.291724145,0.07949699,0.396073163,0.135156929,0.30191052,0.271060705,0.319867849,0.326275706
85,0.333712625,0.082657759,0.412705988,0.271751612,0.233868465,0.273948133,0.344958872,0.465042681
