Speaker	Start	End	Sentence	Emotion	DialogueAct
user01	2.43	14.55	null	Neutral	Statement-non-opinion
user01	14.96	15.41	null	Neutral	Abandoned or Turn-Exit
user01	16.96	28.76	null	Neutral	Statement-opinion
user01	29.7	30.21	null	Neutral	Others
user01	31.38	41.87	null	Neutral	Statement-opinion
user01	43.1	54.71	null	Neutral	Statement-opinion
user01	54.9	57.35	null	Positive	Statement-non-opinion
user01	57.92	72.82	null	Neutral	Statement-non-opinion
user01	74.19	89.58	null	Negative	Statement-opinion
user01	90.13	95.16	null	Neutral	Statement-non-opinion
user01	95.52	105.39	null	Neutral	Statement-non-opinion
user01	108	117.08	null	Positive	Statement-opinion
user01	117.44	120.12	null	Neutral	Statement-non-opinion
user01	121.03	128.81	null	Neutral	Statement-non-opinion
user01	129	141.79	null	Positive	Statement-non-opinion
user01	142.36	149.13	null	Positive	Statement-opinion
user01	149.79	150.23	null	Neutral	Statement-opinion
user01	151.26	169.72	null	Neutral	Statement-opinion
user01	170.09	179.35	null	Neutral	Statement-opinion
user00	179.96	181.53	null	Negative	Statement-non-opinion
user00	182.79	183.91	null	Neutral	Statement-non-opinion
user00	184.55	186.12	null	Neutral	Statement-non-opinion
user00	186.49	187.1	null	Neutral	Uninterpretable
user00	187.54	189.48	null	Neutral	Statement-opinion
user00	190.69	194.4	null	Neutral	Statement-non-opinion
user00	194.76	197.58	null	Negative	Statement-opinion
user00	198.54	199.05	null	Neutral	Others
user00	199.43	200.33	null	Neutral	Statement-non-opinion
user00	200.72	204.19	null	Neutral	Statement-opinion
user00	204.6	207.69	null	Neutral	Statement-non-opinion
user00	208.55	212.28	null	Neutral	Statement-non-opinion
user00	212.92	214.84	null	Neutral	Collaborative Completion
user00	216.29	216.85	null	Neutral	Abandoned or Turn-Exit
user00	217.41	218.33	null	Neutral	Statement-non-opinion
user00	219.97	222.08	null	Positive	Collaborative Completion
user00	222.65	223.53	null	Neutral	Collaborative Completion
user00	224.51	227.5	null	Negative	Statement-non-opinion
user00	227.72	228.24	null	Neutral	Statement-non-opinion
user00	228.68	231.28	null	Neutral	Statement-non-opinion
user00	232.04	233.2	null	Neutral	Collaborative Completion
user00	233.45	235.34	null	Neutral	Others
user00	235.92	239.33	null	Neutral	Statement-non-opinion
user00	239.92	241.99	null	Negative	Statement-non-opinion
user00	243.6	244.37	null	Neutral	Statement-opinion
user00	245.06	248.12	null	Negative	Statement-opinion
