time_s,v_mean,v_std,user00,user01,user02,user10,user11,user12
0,,,,,,,,
1,-0.208950319,0.119083335,,-0.315387547,-0.309220433,-0.096771225,-0.034270968,-0.289101422
2,-0.20351865,0.077867118,-0.132010475,-0.317346364,-0.23562035,,-0.101321518,-0.231294543
3,-0.146241464,0.088955287,-0.115470305,-0.176835477,-0.293337256,-0.018610183,-0.075432092,-0.197763473
4,-0.243110192,0.158236793,-0.107444093,-0.431156784,-0.465956897,-0.139069468,-0.054248001,-0.260785908
5,-0.170194888,0.108814821,-0.088092834,-0.368939668,-0.13901338,-0.165834904,-0.028343346,-0.2309452
6,,,,,,,,
7,-0.18716459,0.12594945,-0.146547511,-0.443032563,-0.174949944,-0.127696484,-0.031506035,-0.199255005
8,-0.219205462,0.133978052,-0.148071751,-0.384741694,-0.388776392,-0.140523389,-0.019026417,-0.23409313
9,-0.233821478,0.125633032,,-0.2945292,-0.302364737,-0.063373134,-0.111883432,-0.396956891
10,-0.182227039,0.124931864,,-0.248481125,-0.340292335,-0.047974344,-0.02189881,-0.252488583
11,-0.20012974,0.096291071,-0.157015055,-0.244228214,-0.263426036,-0.084670573,-0.096914425,-0.354524136
12,-0.158320415,0.089325006,-0.109375492,-0.131111741,-0.342179954,-0.1670001,-0.054931644,-0.14532356
13,-0.224440711,0.121405248,-0.10814932,-0.292342931,-0.387889117,-0.116948396,-0.094161406,-0.347153097
14,-0.193482169,0.090898735,-0.119218856,-0.278021514,-0.293349952,-0.180245176,-0.039982859,-0.250074655
15,-0.152100878,0.147597586,-0.122080997,-0.368917465,-0.302569658,-0.020437632,0.054833461,-0.15343298
16,-0.223783176,0.163663779,-0.150983259,-0.464949399,-0.399935782,-0.046114031,-0.038528699,-0.242187887
17,-0.137925259,0.08027145,-0.139313042,-0.256640792,-0.124045864,-0.054133464,-0.034241829,-0.219176561
18,-0.175583859,0.107745351,-0.132248595,-0.372719586,-0.137660459,-0.067920014,-0.082453355,-0.260501146
19,-0.153963272,0.110077831,-0.140509576,-0.285975277,-0.043543477,-0.111152917,-0.02905244,-0.313545942
