,Task,Start,Finish,Resource
0,user01,2020-04-05 08:00:02.430000,2020-04-05 08:00:14.550000,Neutral
1,user01,2020-04-05 08:00:14.960000,2020-04-05 08:00:15.410000,Neutral
2,user01,2020-04-05 08:00:16.960000,2020-04-05 08:00:28.760000,Neutral
3,user01,2020-04-05 08:00:29.700000,2020-04-05 08:00:30.210000,Neutral
4,user01,2020-04-05 08:00:31.380000,2020-04-05 08:00:41.870000,Neutral
5,user01,2020-04-05 08:00:43.100000,2020-04-05 08:00:54.710000,Neutral
6,user01,2020-04-05 08:00:54.900000,2020-04-05 08:00:57.350000,Positive
7,user01,2020-04-05 08:00:57.920000,2020-04-05 08:01:12.820000,Neutral
8,user01,2020-04-05 08:01:14.190000,2020-04-05 08:01:29.580000,Negative
9,user01,2020-04-05 08:01:30.130000,2020-04-05 08:01:35.160000,Neutral
10,user01,2020-04-05 08:01:35.520000,2020-04-05 08:01:45.390000,Neutral
11,user01,2020-04-05 08:01:48,2020-04-05 08:01:57.080000,Positive
12,user01,2020-04-05 08:01:57.440000,2020-04-05 08:02:00.120000,Neutral
13,user01,2020-04-05 08:02:01.030000,2020-04-05 08:02:08.810000,Neutral
14,user01,2020-04-05 08:02:09,2020-04-05 08:02:21.790000,Positive
15,user01,2020-04-05 08:02:22.360000,2020-04-05 08:02:29.130000,Positive
16,user01,2020-04-05 08:02:29.790000,2020-04-05 08:02:30.230000,Neutral
17,user01,2020-04-05 08:02:31.260000,2020-04-05 08:02:49.720000,Neutral
18,user01,2020-04-05 08:02:50.090000,2020-04-05 08:02:59.350000,Neutral
19,user00,2020-04-05 08:02:59.960000,2020-04-05 08:03:01.530000,Negative
20,user00,2020-04-05 08:03:02.790000,2020-04-05 08:03:03.910000,Neutral
21,user00,2020-04-05 08:03:04.550000,2020-04-05 08:03:06.120000,Neutral
22,user00,2020-04-05 08:03:06.490000,2020-04-05 08:03:07.100000,Neutral
23,user00,2020-04-05 08:03:07.540000,2020-04-05 08:03:09.480000,Neutral
24,user00,2020-04-05 08:03:10.690000,2020-04-05 08:03:14.400000,Neutral
25,user00,2020-04-05 08:03:14.760000,2020-04-05 08:03:17.580000,Negative
26,user00,2020-04-05 08:03:18.540000,2020-04-05 08:03:19.050000,Neutral
27,user00,2020-04-05 08:03:19.430000,2020-04-05 08:03:20.330000,Neutral
28,user00,2020-04-05 08:03:20.720000,2020-04-05 08:03:24.190000,Neutral
29,user00,2020-04-05 08:03:24.600000,2020-04-05 08:03:27.690000,Neutral
30,user00,2020-04-05 08:03:28.550000,2020-04-05 08:03:32.280000,Neutral
31,user00,2020-04-05 08:03:32.920000,2020-04-05 08:03:34.840000,Neutral
32,user00,2020-04-05 08:03:36.290000,2020-04-05 08:03:36.850000,Neutral
33,user00,2020-04-05 08:03:37.410000,2020-04-05 08:03:38.330000,Neutral
34,user00,2020-04-05 08:03:39.970000,2020-04-05 08:03:42.080000,Positive
35,user00,2020-04-05 08:03:42.650000,2020-04-05 08:03:43.530000,Neutral
36,user00,2020-04-05 08:03:44.510000,2020-04-05 08:03:47.500000,Negative
37,user00,2020-04-05 08:03:47.720000,2020-04-05 08:03:48.240000,Neutral
38,user00,2020-04-05 08:03:48.680000,2020-04-05 08:03:51.280000,Neutral
39,user00,2020-04-05 08:03:52.040000,2020-04-05 08:03:53.200000,Neutral
40,user00,2020-04-05 08:03:53.450000,2020-04-05 08:03:55.340000,Neutral
41,user00,2020-04-05 08:03:55.920000,2020-04-05 08:03:59.330000,Neutral
42,user00,2020-04-05 08:03:59.920000,2020-04-05 08:04:01.990000,Negative
43,user00,2020-04-05 08:04:03.600000,2020-04-05 08:04:04.370000,Neutral
44,user00,2020-04-05 08:04:05.060000,2020-04-05 08:04:08.120000,Negative
