,00_v,01_v,02_v,10_v,11_v,12_v,00_a,01_a,02_a,10_a,11_a,12_a,v_mean,a_mean,v_std,a_std
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-0.299398482,-0.231906682,-0.106227681,-0.09977667,-0.276576966,0,0.216933399,0.265693367,0.314385504,0.197079763,0.342269093,-0.16898108,0.222726854,0.118175336,0.122340807
2,-0.1506221,-0.136514485,-0.255130887,0,-0.109397456,-0.25085026,0.389696121,0.29898569,0.303828239,0,0.116106331,0.438049078,-0.150419198,0.257777577,0.095449502,0.16747484
3,-0.125032485,-0.231290221,-0.250072986,-0.038241778,-0.133121848,-0.264464766,0.412703335,0.479503781,0.327215731,0.266907871,0.187615782,0.433747798,-0.173704014,0.351282383,0.089164738,0.110904304
4,-0.129159972,-0.448499382,-0.390025526,-0.140583873,-0.069122881,-0.242501199,0.421933711,0.32625246,0.346240491,0.25834927,0.191406399,0.32464838,-0.236648806,0.311471785,0.153157822,0.078791484
5,-0.114249334,-0.413381755,-0.105019733,-0.170150697,-0.068696022,-0.251534373,0.447835058,0.306085438,0.420260191,0.295368135,0.202310503,0.244256064,-0.187171986,0.319352565,0.127832985,0.096726106
6,-0.116585404,-0.346802503,-0.02396239,-0.152159929,-0.10286884,-0.268876284,0.4474141,0.272823393,0.325453162,0.303183645,0.23701641,0.276478648,-0.168542558,0.310394893,0.118345142,0.073483805
7,-0.128141925,-0.317841917,-0.2627078,-0.115966171,-0.080526814,-0.179435834,0.434374571,0.355954468,0.373530984,0.258049071,0.25794816,0.209810495,-0.180770077,0.314944625,0.092219564,0.085926209
8,-0.170756951,-0.350228131,-0.364148557,-0.149103537,-0.08506532,-0.311291814,0.357038617,0.385008752,0.269138813,0.340863019,0.157882199,0.242944747,-0.238432385,0.292146025,0.118061344,0.085070268
9,0,-0.381441981,-0.289644927,-0.1131735,-0.10383217,-0.201179504,0,0.374809116,0.260477483,0.403061301,0.275363982,0.208550423,-0.181545347,0.253710384,0.138349155,0.144148293
10,0,-0.219952106,-0.085751221,-0.057902861,-0.098978847,-0.311897069,0,0.146868601,0.194384322,0.388835728,0.251821727,0.31648773,-0.129080351,0.216399685,0.115057476,0.136495127
11,-0.149507195,-0.24450025,-0.213221043,-0.075383872,-0.096039429,-0.238934785,0.437112272,0.209779963,0.363850206,0.199382573,0.290810496,0.381528378,-0.169597762,0.313743981,0.073500629,0.096683077
12,-0.114526302,-0.162927866,-0.43610096,-0.177449107,-0.085430786,-0.169420779,0.431049049,0.059849977,0.427357405,0.265414089,0.1642465,0.234182805,-0.190975967,0.263683304,0.125303549,0.14636221
13,-0.109777108,-0.463346452,-0.347745597,-0.154782414,-0.05995274,-0.343115687,0.436055124,0.360200971,0.423156142,0.305247009,0.129924908,0.346034914,-0.246453333,0.333436511,0.160320166,0.111055723
14,-0.114311725,-0.352869004,-0.17209664,0.08268638,-0.028773319,-0.31674549,0.426588982,0.318657458,0.341218054,0.215441898,0.186382338,0.329320282,-0.150351633,0.302934835,0.167068802,0.088248336
15,-0.126204193,-0.425616652,-0.470867366,-0.023588497,-0.086740285,-0.271444678,0.410118371,0.292338639,0.364799857,0.358959943,0.099776298,0.350860268,-0.234076945,0.312808896,0.185366404,0.110952187
16,-0.123992085,-0.614309192,-0.08939831,-0.022215281,-0.074820101,-0.242150813,0.414606273,0.402493,0.188085482,0.235265672,0.196827844,0.379750907,-0.194480964,0.302838196,0.218418584,0.107061827
17,-0.120504558,-0.423458815,-0.205905199,-0.047400262,-0.061062884,-0.200213671,0.395454079,0.359799355,0.291080117,0.284836739,0.212589532,0.289697468,-0.176424232,0.305576215,0.138234283,0.064120355
18,-0.108396769,-0.33581382,-0.058436539,-0.098927364,-0.082175359,-0.296359807,0.404348224,0.241024926,0.179064497,0.257098734,0.190583423,0.395571321,-0.16335161,0.277948521,0.120167939,0.099015942
19,-0.107923031,-0.50187397,-0.064088464,-0.136965632,-0.035597172,-0.362009585,0.406005889,0.410662442,0.234129563,0.192278877,0.260101795,0.42800501,-0.201409642,0.321863929,0.187251068,0.104436718
20,-0.104221642,-0.334471822,-0.328929901,-0.044354718,-0.030153822,-0.23476848,0.407039195,0.259654015,0.194996402,0.121232405,0.271333903,0.367619216,-0.179483398,0.270312523,0.138300776,0.105995115
21,-0.116368651,-0.206237063,-0.269261301,-0.124292105,-0.06207687,-0.430984914,0.393867135,0.389272332,0.334025472,0.334611684,0.046411991,0.540214121,-0.201536817,0.339733789,0.134107842,0.162279603
22,-0.103018835,-0.409653187,-0.179495454,-0.132795364,0.038196664,-0.184841886,0.401822776,0.25408417,0.299272835,0.151425034,0.292196602,0.300351977,-0.161934677,0.283192232,0.145993364,0.081138402
23,-0.12427792,-0.225178152,-0.189401835,-0.0848746,-0.035250392,-0.219305068,0.391187429,0.197085217,-0.018462956,0.403534114,0.205641568,0.374556541,-0.146381328,0.258923652,0.077458761,0.164549786
24,-0.131543145,-0.212343842,-0.10818018,-0.082876578,-0.004022602,-0.244894892,0.386022687,0.422511071,0.187336713,0.250606596,0.310855687,0.41865319,-0.13064354,0.329330991,0.087804632,0.096515463
25,-0.105440527,-0.419838965,-0.103552446,-0.078034088,-0.088410452,-0.219391018,0.396155357,0.19360508,0.271257699,0.29771775,0.30779177,0.357613862,-0.169111249,0.304023586,0.133080448,0.070256663
26,-0.109318852,-0.154953405,-0.160390198,-0.074536085,-0.032902267,-0.226314425,0.455701321,0.227152944,0.354037702,0.484642506,0.205655679,0.339991152,-0.126402539,0.344530217,0.068814214,0.114162187
27,-0.128033325,-0.262723058,-0.192775026,-0.030495692,-0.085327178,-0.165284976,0.405842125,0.248642743,0.341015875,0.325787753,0.370221913,0.461176872,-0.144106543,0.358781214,0.081863072,0.07261563
28,-0.125350714,-0.541424692,-0.073884219,-0.151268691,0.001215201,-0.255719751,0.395392656,0.408528358,0.295803905,0.284229457,0.23107174,0.322362691,-0.191072144,0.322898135,0.191591897,0.06819051
29,-0.13444142,-0.138916805,-0.219351828,-0.03195953,-0.041148286,-0.189224988,0.378647059,0.277504861,0.299143255,0.303580225,0.270158529,0.135246828,-0.125840476,0.277380126,0.076148979,0.079585315
30,-0.111698508,-0.282201022,-0.072788596,-0.113377377,-0.070821822,-0.311238348,0.398738414,0.254577845,0.244443387,0.339205861,0.327511311,0.292221695,-0.160354279,0.309449752,0.107583134,0.057823301
31,-0.12918584,-0.474630564,-0.167527959,-0.010858145,-0.038477663,-0.209062904,0.381861538,0.448047012,0.366236508,0.286622673,0.298498333,0.552691579,-0.171623846,0.388992941,0.166496866,0.099521139
32,-0.130734816,-0.309014797,-0.063083798,-0.080423355,-0.06129368,-0.115996316,0.393004,0.364385068,0.325080931,0.302318245,0.238898307,0.486121595,-0.126757794,0.351634691,0.09363338,0.084625558
33,-0.133543283,-0.328007966,-0.149652615,-0.13116923,-0.044913445,-0.111047566,0.385705173,0.364171445,0.352886498,0.24033156,0.293733537,0.543356895,-0.149722351,0.363364185,0.094733723,0.102948903
34,-0.125197589,-0.30057922,-0.130776808,0,-0.064990327,-0.127905607,0.38121742,0.318790048,0.346818447,0,0.45702818,0.36671415,-0.124908259,0.311761374,0.10009598,0.159637057
35,-0.126494184,-0.31845516,-0.054395664,0,-0.066627845,0.061231788,0.386427253,0.330902517,0.307992607,0,0.237891778,0.363550991,-0.084123511,0.271127524,0.131226039,0.142395897
36,-0.119448572,-0.240198284,-0.208407104,0,0.013133695,-0.154711634,0.393143177,0.215174288,0.325651169,0,0.272289813,0.348908365,-0.118271983,0.259194469,0.105427994,0.14120791
37,-0.11325711,-0.331643164,-0.274900168,-0.025249045,0.009586055,-0.293268263,0.409089416,0.26598838,0.351342082,0.397068709,0.223988414,0.393723398,-0.171455283,0.340200067,0.147471123,0.077435391
38,-0.13223429,-0.289661705,-0.153909206,-0.098933205,-0.001322426,-0.23568064,0.400828928,0.381783664,0.319513261,0.308701307,0.160501346,0.210573062,-0.151956912,0.296983595,0.101850211,0.094566358
39,-0.135722473,-0.353677928,-0.185517177,-0.103075475,0.007190894,-0.199367821,0.382998347,0.371316403,0.324440271,0.280603677,0.308413565,0.401716411,-0.161694997,0.344914779,0.119563747,0.047457963
40,-0.133226484,-0.114893869,-0.214912891,-0.149813175,0.050219689,-0.294897079,0.387753785,0.175000757,0.271992147,0.256874055,0.405461997,0.372073889,-0.142920635,0.311526105,0.115334204,0.091092915
41,-0.116569981,-0.147990957,-0.088745594,-0.099199653,-0.121491745,-0.257357746,0.396490186,0.235595211,0.295946479,0.322565377,0.145382822,0.397839755,-0.138559279,0.298969972,0.061656217,0.097423492
42,-0.121154651,-0.174059629,-0.186144635,-0.150063127,-0.015384112,-0.17239143,0.388007164,0.265829742,0.301930666,0.244634598,0.30831185,0.532426953,-0.136532931,0.340190162,0.063642753,0.10619021
43,-0.121138006,-0.038355749,-0.103734359,-0.168561965,-0.01139177,-0.022211213,0.390263736,0.201350898,0.333323687,0.217949629,0.342663348,0.330469042,-0.07756551,0.302670057,0.06299872,0.075402477
44,-0.117799968,-0.373821139,-0.156937361,-0.107619122,-0.055362906,-0.159930736,0.382259756,0.382479429,0.243616775,0.300708175,0.286701202,0.324636132,-0.161911872,0.320066912,0.110616864,0.054985097
