Speaker	Start	End	Sentence	Emotion	DialogueAct
SPEAKER_03	2.43	14.55	The sissara weekly product marketing meeting and the a first topic of a conversation as one we've chattered about a few times and.	Neutral	Statement-non-opinion
SPEAKER_03	14.96	15.41	You know.	Neutral	Abandoned or Turn-Exit
SPEAKER_03	16.96	28.76	Probably bears are worth a little conversation, so I recorded a vinuan over the week and a postof, the vidio and the deck ah inactually. I will say this too. I should have this in agenta item and may be even from last week.	Neutral	Statement-opinion
SPEAKER_03	29.70	30.21	Ah,.	Neutral	Acknowledge (Backchannel)
SPEAKER_03	31.38	41.87	If you haven't seen this, I think dar is putting together a training am actually t o larger motions. Tat. A kind of idea is in order to promote cross mobility within marketing.	Neutral	Statement-opinion
SPEAKER_03	43.10	54.71	Ah, the ideais that there would be some kind of training criculum and if you wanted to shift lick latterally into different role. The idea is that you should be able to complete all of this stuff.	Neutral	Statement-opinion
SPEAKER_03	54.90	57.35	Um now I like this, a lot a.	Positive	Statement-non-opinion
SPEAKER_03	57.92	72.82	Should heachic marketing in the time I've beenequate lab, has not hired anyone else from any other part of the company a in gets a huge tragedy. So I would love to see folks from other parts of marketing and other parts. Ofthe org moving a streteaty marketing or arcument particular.	Neutral	Statement-non-opinion
SPEAKER_03	74.19	89.58	And probably I also think of product marketers, a part of our roll is to know a little bit about everything, and so, as other leaders are cut, a putting together like deband gend, one a one or like stiars one, a one like we should consume all that content and to spek familiar with it.	Negative	Statement-opinion
SPEAKER_03	90.13	95.16	And then we are also tasked with creating a little bit of product marketing, one or ont.	Neutral	Statement-non-opinion
SPEAKER_03	95.52	105.39	In that spirit, I linked a linked in vidio. Did anybody watch any of that linkthin training that I linked last week in a I've chattered with a few yu folks about it? Anybody checkd that out yet.	Neutral	Statement-non-opinion
SPEAKER_03	108.00	117.08	No totally go check the soutcayso. I was surprised at how good it was. I didn't expect it. I've had some really good linkon learning.	Positive	Statement-opinion
SPEAKER_03	117.44	120.12	Content that I've I've access before at other jobs.	Neutral	Statement-non-opinion
SPEAKER_03	121.03	128.81	And so I's a go I'll just go see whether they have about prod marketing, and I found this one course and it's like b to b sass marketing ano one.	Neutral	Statement-non-opinion
SPEAKER_03	129.00	141.79	And there's nothing in there that you haven't heard before, but it just so good. It's all like a very compact it it's a highly recommend. If you just watch eyou've just watched the course and n it's an hour.	Very Positive	Statement-non-opinion
SPEAKER_03	142.36	149.13	One hundred per cent recommend just spending an hour an watching at course. It's a great jusrefresher an'll chear somethings that you didn't hig about before.	Very Positive	Statement-opinion
SPEAKER_03	149.79	150.23	And.	Neutral	Statement-opinion
SPEAKER_03	151.26	169.72	Or if you want a take like a day or two and like do all of the home work or whatever and really dig it to it, highly recommended, ah that so in that vein, that course will go intellect the. If you want of your pot of market- or this is stuff, you shol, no, what frock workening I'll so record to this vidio on what is the diftion between a product, service and solution.	Neutral	Statement-opinion
SPEAKER_03	170.09	179.35	A on that vain city, I think you maybe also had an m r, ah and hows g t, emotions or solutions. If you want to hre your thoughts, there.	Neutral	Statement-opinion
SPEAKER_04	179.96	181.53	I dislinked it em.	Negative	Statement-non-opinion
SPEAKER_04	182.79	183.91	Though, we've got.	Neutral	Statement-non-opinion
SPEAKER_04	184.55	186.12	What I was looking at is.	Neutral	Statement-non-opinion
SPEAKER_04	186.49	187.10	The.	Neutral	Uninterpretable
SPEAKER_04	187.54	189.48	What we call a solution, it.	Neutral	Statement-opinion
SPEAKER_04	190.69	194.40	On we've got a solution's page, it has about thirty different things and.	Neutral	Statement-non-opinion
SPEAKER_04	194.76	197.58	A mish mash of it's just a giant dumping ground.	Very Negative	Statement-opinion
SPEAKER_04	198.54	199.05	Em.	Neutral	Backchannel in question form
SPEAKER_04	199.43	200.33	Those things.	Neutral	Statement-non-opinion
SPEAKER_04	200.72	204.19	Were not treating solutions strategically, likewe should most.	Neutral	Statement-opinion
SPEAKER_04	204.60	207.69	Companies have a solution's link on their home page.	Neutral	Statement-non-opinion
SPEAKER_04	208.55	212.28	Now what we have is, we have a product link and the product link.	Neutral	Statement-non-opinion
SPEAKER_04	212.92	214.84	Has professional services first.	Neutral	Collaborative Completion
SPEAKER_04	216.29	216.85	As a.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	217.41	218.33	And then it has.	Neutral	Statement-non-opinion
SPEAKER_04	219.97	222.08	Most popular or common.	Positive	Collaborative Completion
SPEAKER_04	222.65	223.53	Use.	Neutral	Collaborative Completion
SPEAKER_04	224.51	227.50	And underneath that this is still on the product, tab.	Negative	Statement-non-opinion
SPEAKER_04	227.72	228.24	It has.	Neutral	Statement-non-opinion
SPEAKER_04	228.68	231.28	Enterprise esm b c I c d.	Neutral	Statement-non-opinion
SPEAKER_04	232.04	233.20	A c m.	Neutral	Collaborative Completion
SPEAKER_04	233.45	235.34	Atto devox.	Neutral	No answers
SPEAKER_04	235.92	239.33	Agile development b a sem and get.	Neutral	Statement-non-opinion
SPEAKER_04	239.92	241.99	Got this mishmash of.	Negative	Statement-non-opinion
SPEAKER_04	243.60	244.37	And.	Neutral	Statement-opinion
SPEAKER_04	245.06	248.12	Product and solution and it's all mess under there.	Very Negative	Statement-opinion
SPEAKER_04	248.81	250.28	And then we have.	Neutral	Statement-non-opinion
SPEAKER_04	251.21	252.32	Use case pages.	Neutral	Collaborative Completion
SPEAKER_04	253.50	253.92	Which.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	254.82	256.29	Don't a line to this.	Negative	Action-directive
SPEAKER_04	256.66	259.81	To those there's a few that do and there's a few that don't.	Neutral	Statement-opinion
